,노래 제목,가수명,song_id
0,Underneath The Tree,Kelly Clarkson,4322520
1,All I Want for Christmas Is You,Mariah Carey,14776
2,Mistletoe,Justin Bieber,3592400
3,Last Christmas,Taylor Swift,3062049
4,Thank You Note,salem ilese,35769165
5,Kiss You This Christmas,Why Don't We,30751045
6,Jingle Bell Rock,The Vamps,34534710
7,Let It Snow! (10th Anniversary),Michael Buble,34038935
8,"Oh Santa! (Feat. Ariana Grande, Jennifer Hudson)",Mariah Carey,33116142
9,Kiss Me It's Christmas (Feat. Ne-Yo),Leona Lewis,34165587
10,Take Me Home For Christmas,Dan + Shay,33048103
11,"Christmas Gift (Feat. Ashley Alisha, Sonny Zero)",뎁트,34365725
12,wishlist,Alaina Castillo,33093062
13,Santa Tell Me,Ariana Grande,5475060
14,Last Call,Hudson Thames,106783710
15,Last Christmas,WHAM!,32156032
16,All I Want For Christmas Is You,New Hope Club,31493996
17,Secret Santa,salem ilese,35769164
18,Daydreamin',Ariana Grande,4225822
19,My Only Wish (This Year),Britney Spears,330407
20,Think of Christmas,Anne-Marie,33048662
21,Christmases When You Were Mine,Taylor Swift,3062050
22,Wit It This Christmas,Ariana Grande,7985052
23,"Santa, Can’t You Hear Me",Kelly Clarkson,34097020
24,Let It Snow,Tori Kelly,33018858
25,Merry Christmas,Ed Sheeran,34363553
26,A Hand For Mrs. Claus,Idina Menzel,32105270
27,Have Yourself A Merry Little Christmas,Sam Smith,5497433
28,Jingle Bell Rock (징글 벨 락) (2016 Remastered Ver.),Bobby Vee,30775978
29,Marry Christmas,salem ilese,33130221
30,Snow In California,Ariana Grande,4365844
31,Christmas Got Me Blue,Meghan Trainor,33027699
32,Cozy With Me,kenzie,33084529
33,in case you miss me,John K,33620400
34,How Long Will I Love You,Jon Boden,31987662
35,Thank You Note,salem ilese,34389882
36,This Christmas,Pink Sweat$,32223026
37,This Christmas,Tori Kelly,34180596
38,It Was A… (Masked Christmas),Jimmy Fallon,34378075
39,I'll Be Home,Meghan Trainor,7936957
40,"Some Things Never Change (From ""Frozen 2""/Soundtrack Version)",Kristen Bell,32180584
41,"Merry Christmas, Happy Holidays",Pentatonix,30121291
42,Mr Right,Leona Lewis,4344779
43,All I Want For Christmas Is You (SuperFestive!),Justin Bieber,3592404
44,Santa Claus Is Comin' to Town,Mariah Carey,15247
45,Let It Snow,Tori Kelly,33025524
46,Marvin Gaye (Feat. Meghan Trainor),Charlie Puth,8037844
47,I'm Yours,Jason Mraz,1860268
48,Christmas Tree Farm,Taylor Swift,32236965
49,When Christmas Comes (Album Version),Mariah Carey,3626513
